,,,
,,称号名,獲得条件
1,1ページ目,,
2,,新入生,デフォルト称号
3,,,
4,,,
5,,I♥ラブライブ,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,2ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,3ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,4ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,5ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,6ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,7ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,8ページ目,デビューシングル,『僕らのLIVE 君とのLIFE』を3回プレイ
2,,スクールアイドル,『僕らのLIVE 君とのLIFE』を25回プレイ
3,,1期第8話で流れたよ！,『僕らのLIVE 君とのLIFE』を75回プレイ
4,,前にぐんぐん！,『僕らのLIVE 君とのLIFE』を150回プレイ
5,,ここから始まる,『僕らのLIVE 君とのLIFE』を250回プレイ
6,,明日ってまぶしい！,『僕らのLIVE 君とのLIFE』を400回プレイ
7,,理屈じゃない気持ち！,『僕らのLIVE 君とのLIFE』を750回プレイ
8,,完敗からのスタート、か,『僕らのLIVE 君とのLIFE』を1000回プレイ
9,,2ndシングル,『Snow halation』を3回プレイ
10,,2期第9話で流れたよ！,『Snow halation』を25回プレイ
11,,第1回総選挙の結果は？,『Snow halation』を75回プレイ
12,,雪の中で,『Snow halation』を150回プレイ
13,,季節のときめき,『Snow halation』を250回プレイ
14,,切なさ命名,『Snow halation』を400回プレイ
